               chr       pos    ci.low   ci.high       lod       pval
chr05_6166123    5 64.269013 16.63401  89.29903 2.1275564 0.7380952
chr06_49054672   6 98.562055  0.00000  98.56206 1.2118002 1.0000000
chr07_54142982   7 39.972013 31.30201  42.91002 3.1105026 0.1706349
chr08_883623     8  7.248003  0.00000  99.22205 0.7786317 1.0000000
chr09_67733308   9 77.279039  0.00000 130.55805 1.5753787 0.9801587
chr10_65358323  10 96.108052 21.15501  96.39405 1.6813437 0.9613095
chr11_52783757  11 70.955041  0.00000 103.37206 1.0596098 1.0000000
chr12_2129661   12 18.283007  0.00000  85.15204 1.3189663 0.9990079
 
               chr      pos    ci.low   ci.high       lod      pval
chr01_4205504    1 22.36401 18.023011  32.79902 9.2273097 0.0000000
chr02_48414726   2 78.99206 36.539026 107.46909 2.1968494 0.6944444
chr03_5064216    3 47.04302 35.203012  58.97403 2.7183030 0.3521825
chr04_3261417    4 31.65801  0.000000 108.82805 1.7772524 0.9414683
chr05_3192066    5 36.31801  9.489005  81.91303 1.5831064 0.9831349
chr06_40171015   6 43.92902  0.000000  98.56206 0.5033624 1.0000000
chr07_65219730   7 84.73004 46.506018 110.85805 2.1051768 0.7698413
chr08_61195416   8 72.96004 50.581025  86.87005 2.0712081 0.7867063
chr09_68765386   9 85.33104 15.493007 130.55805 2.1660915 0.7232143
chr10_61749749  10 65.35803  0.000000  96.39405 1.1150883 1.0000000
chr11_54774233  11 93.23805 30.107026 103.37206 1.6258353 0.9722222
chr12_63773593  12 73.27503  0.000000  93.13604 0.8629245 1.0000000
 
               chr       pos    ci.low   ci.high      lod       pval
chr01_3572627    1  18.02301  5.575005  27.81101 4.904819 0.00297619
chr02_38614728   2  32.66802 29.261019  59.77804 2.355036 0.55853175
chr03_67259598   3 106.79606 44.878017 120.64508 1.721096 0.94742063
chr04_3261417    4  31.65801 28.091013  40.77101 4.334531 0.01190476
chr05_1851327    5  16.63401  0.000000  67.84701 2.195216 0.67857143
chr06_47038534   6  86.35904 73.477036  98.56206 1.629306 0.97123016
chr07_2347321    7  22.38501  0.000000  35.74401 2.088530 0.75198413
chr08_64161270   8  89.41405 34.002014  99.22205 1.289177 0.99900794
chr09_3333717    9  41.87101 21.453010 105.52005 1.723192 0.94742063
chr10_62140259  10  70.65303 48.540021  96.39405 1.795223 0.93154762
chr11_4924585   11  30.71403 26.905025 101.48805 2.035008 0.78968254
chr12_1684454   12  13.84300  0.000000  81.40303 1.303178 0.99801587
 
               chr      pos    ci.low   ci.high       lod         pval
chr01_3572627    1 18.02301  5.575005  27.81101 5.1204325 0.0009920635
chr02_38614728   2 32.66802 29.261019  42.45203 2.6878709 0.3571428571
chr03_5064216    3 47.04302  0.000000 117.80107 1.2827116 0.9990079365
chr04_3261417    4 31.65801 18.460010  40.77101 4.4856597 0.0049603175
chr05_1851327    5 16.63401  0.000000  67.84701 2.2296210 0.6646825397
chr06_47038534   6 86.35904 40.918022  98.56206 1.2999447 0.9990079365
chr07_2347321    7 22.38501  0.000000  42.91002 2.5367250 0.4315476190
chr08_64161270   8 89.41405  0.000000  99.22205 0.9646622 1.0000000000
chr09_2480858    9 32.77901 21.453010 102.14705 2.2563919 0.6388888889
chr10_62140259  10 70.65303 45.233020  96.39405 1.4111726 0.9960317460
chr11_4924585   11 30.71403  8.261009 103.37206 2.0247594 0.8075396825
chr12_1550119   12 11.26500  0.000000  48.10602 1.4302762 0.9950396825
 
               chr       pos    ci.low   ci.high       lod      pval
chr01_4205504    1  22.36401 16.455010  27.05501 7.6192545 0.0000000
chr02_38614728   2  32.66802 22.010017  97.18608 2.3771321 0.5476190
chr03_5064216    3  47.04302 44.263016 107.63306 1.6987201 0.9662698
chr04_3261417    4  31.65801  0.000000  40.77101 2.6266678 0.3839286
chr05_1851327    5  16.63401  0.000000  36.31801 2.2458119 0.6587302
chr06_2221187    6  10.14200  0.000000  98.56206 0.7424428 1.0000000
chr07_340497     7   0.00000  0.000000  35.74401 1.5900572 0.9801587
chr08_52827688   8  36.11902  0.000000  99.22205 1.0129587 1.0000000
chr09_67733308   9  77.27904  9.478005 130.55805 1.6166868 0.9751984
chr10_62140259  10  70.65303  0.000000  96.39405 1.2609761 0.9990079
chr11_56272429  11 103.37206 12.909012 103.37206 1.3721328 0.9960317
chr12_2129661   12  18.28301  0.000000  93.13604 1.2961793 0.9980159
 
               chr       pos   ci.low   ci.high      lod      pval
chr01_3572627    1  18.02301  0.00000  32.79902 2.418511 0.4970238
chr02_38614728   2  32.66802 12.66501  58.35404 2.696374 0.3194444
chr03_67259598   3 106.79606 82.54004 110.63507 2.466560 0.4613095
chr04_3261417    4  31.65801 28.09101  40.77101 3.091719 0.1577381
chr05_1851327    5  16.63401  0.00000  36.31801 2.044358 0.7738095
chr06_47038534   6  86.35904 79.77604  98.56206 2.053649 0.7678571
chr07_340497     7   0.00000  0.00000  35.74401 1.768102 0.9295635
chr08_64035568   8  87.71805 75.15104  97.45805 2.938944 0.2003968
chr09_2480858    9  32.77901 21.45301  51.03402 2.174152 0.6795635
chr10_62341012  10  73.29503 49.38402  96.39405 1.756692 0.9355159
chr11_4924585   11  30.71403  0.00000 101.48805 1.580629 0.9821429
chr12_4858882   12  42.30702  0.00000  93.13604 1.088581 1.0000000
 
               chr       pos   ci.low   ci.high      lod       pval
chr01_3572627    1  18.02301 11.26801  27.81101 3.120023 0.14484127
chr02_38614728   2  32.66802 29.26102  58.35404 2.916298 0.21230159
chr03_67259598   3 106.79606 83.80804 120.64508 2.325083 0.55456349
chr04_3261417    4  31.65801 28.09101  40.77101 4.061835 0.02777778
chr05_1851327    5  16.63401  0.00000  53.30701 2.221420 0.63095238
chr06_47038534   6  86.35904 79.77604  98.56206 2.368814 0.53075397
chr07_340497     7   0.00000  0.00000  35.74401 1.956175 0.83928571
chr08_64035568   8  87.71805 75.15104  97.45805 2.536808 0.41468254
chr09_2480858    9  32.77901 21.45301 102.14705 2.147259 0.68055556
chr10_62244292  10  72.64603 49.38402  96.39405 1.560158 0.98908730
chr11_4924585   11  30.71403 26.90503 101.48805 1.967658 0.83134921
chr12_4858882   12  42.30702  0.00000  84.48004 1.158667 1.00000000
 
               chr       pos    ci.low   ci.high       lod      pval
chr01_3279061    1  16.45501  5.575005 124.96210 1.8021615 0.9236111
chr02_49269215   2  84.24307  0.000000 107.46909 0.6914794 1.0000000
chr03_2271345    3  21.19801  0.000000 124.44308 1.0158644 1.0000000
chr04_2170732    4  19.54901  3.046003 114.68306 2.4225016 0.5337302
chr05_64424970   5 110.13304 94.974035 111.23804 2.7214127 0.3442460
chr06_42014535   6  55.86303 47.330026  79.77604 1.7784442 0.9325397
chr07_55395662   7  41.66201 19.596004  55.68202 1.9135568 0.8740079
chr08_65155289   8  97.45805  0.000000  99.22205 1.1438590 1.0000000
chr09_71476646   9 117.25705 73.842037 121.64505 2.9233907 0.2271825
chr10_62187729  10  71.66103  0.000000  96.39405 0.6954900 1.0000000
chr11_51667627  11  61.26204 12.909012 103.37206 2.1712091 0.7123016
chr12_351230    12   0.00000  0.000000  93.13604 0.8256208 1.0000000
 
               chr       pos   ci.low   ci.high      lod        pval
chr01_3279061    1  16.45501 11.26801  27.05501 3.698669 0.048611111
chr02_38614728   2  32.66802 30.52802  57.14704 2.828635 0.253968254
chr03_67259598   3 106.79606 83.80804 121.53608 1.973681 0.820436508
chr04_3261417    4  31.65801 28.09101  40.77101 4.633861 0.003968254
chr05_1851327    5  16.63401  0.00000  53.30701 2.183769 0.673611111
chr06_47038534   6  86.35904 79.77604  98.56206 2.373949 0.537698413
chr07_2347321    7  22.38501  0.00000  46.50602 2.000223 0.809523810
chr08_64035568   8  87.71805 75.15104  99.22205 1.912922 0.861111111
chr09_2480858    9  32.77901 21.45301 102.14705 1.881586 0.877976190
chr10_62140259  10  70.65303 45.23302  96.39405 1.362905 0.999007937
chr11_4924585   11  30.71403 26.90503 101.48805 2.188957 0.670634921
chr12_4682268   12  40.72801  0.00000  84.48004 1.147183 1.000000000
 
               chr        pos    ci.low   ci.high       lod       pval
chr01_88441355   1  89.935059 85.018051 102.55307 3.5409550 0.07936508
chr02_16635348   2   0.571001  0.000000  10.62401 1.9191126 0.87500000
chr03_68702106   3 115.796070  1.387001 124.56708 1.1547695 1.00000000
chr04_6728572    4  49.056017  0.000000 114.68306 2.0034648 0.82341270
chr05_10037656   5  72.238018  0.000000 111.23804 1.1335676 1.00000000
chr06_40599648   6  46.566025 24.744016  79.77604 1.5663573 0.98115079
chr07_65219730   7  84.730036 19.596004 110.85805 1.3740156 0.99603175
chr08_64596507   8  92.034051 63.514033  99.22205 3.5981298 0.07043651
chr09_71476646   9 117.257051 76.029038 130.55805 2.2882796 0.64583333
chr10_62187729  10  71.661032  0.000000  96.39405 1.1771020 1.00000000
chr11_55072513  11  96.414050 51.804037 103.37206 3.2652594 0.13095238
chr12_591995    12   1.204001  0.000000  93.13604 0.9065024 1.00000000
 
               chr        pos   ci.low   ci.high       lod      pval
chr01_95289845   1 116.410088  0.00000 121.26809 1.4407576 0.9910714
chr02_31321918   2   5.502005  0.00000 107.46909 1.7944201 0.9196429
chr03_68702106   3 115.796070 22.11601 124.56708 2.1332635 0.6944444
chr04_3261417    4  31.658014  0.00000 114.68306 0.6405445 1.0000000
chr05_22406142   5  73.851020  0.00000 111.23804 0.7376438 1.0000000
chr06_40599648   6  46.566025 30.61102  87.16204 1.7648699 0.9325397
chr07_65219730   7  84.730036 69.90903  92.71504 1.7034552 0.9494048
chr08_64596507   8  92.034051 45.28302  99.22205 1.9108085 0.8541667
chr09_2248868    9  28.465011  0.00000 130.55805 0.7444467 1.0000000
chr10_62140259  10  70.653031  0.00000  96.39405 0.6998769 1.0000000
chr11_54843429  11  95.224049  9.17001 103.37206 2.0293458 0.7698413
chr12_5680442   12  48.106020  0.00000  93.13604 0.9216055 1.0000000
 
               chr       pos    ci.low   ci.high       lod       pval
chr01_4205504    1 22.364012 18.023011  30.13202 2.9075005 0.25892857
chr02_47907698   2 77.568057  0.000000 107.46909 1.2832806 0.99900794
chr03_3289041    3 34.938011 12.675004  50.10802 3.3825221 0.11706349
chr04_1125394    4  6.795008  0.000000  18.46001 2.3054503 0.60714286
chr05_1185215    5  6.957003  0.000000  16.63401 1.6356250 0.96825397
chr06_32362978   6 18.997011 16.244007  22.92502 4.2697962 0.02579365
chr07_65765157   7 90.237038  0.000000 110.85805 1.3580542 0.99801587
chr08_3751501    8 30.200010 15.618006  92.03405 1.3321637 0.99900794
chr09_586167     9  0.138001  0.000000  84.02904 1.4230769 0.99503968
chr10_219095    10  0.000000  0.000000  96.39405 0.8142002 1.00000000
chr11_4924585   11 30.714027 30.107026  32.28503 7.4185270 0.00000000
chr12_63932679  12 75.268031  1.204001  93.13604 1.3281257 0.99900794
 
               chr        pos    ci.low   ci.high       lod       pval
chr01_89056634   1  91.517060 84.144050 129.41110 1.5596289 0.98412698
chr02_38614728   2  32.668021  9.575008 107.46909 1.0650916 1.00000000
chr03_64136163   3  90.065043  1.387001 120.64508 1.4473156 0.99404762
chr04_1125394    4   6.795008  3.046003  45.18802 4.7123765 0.01190476
chr05_4780398    5  53.307008  0.000000 111.23804 0.9990906 1.00000000
chr06_48543732   6  94.537051 79.776039  98.56206 3.1197399 0.17956349
chr07_67421594   7 105.821046 25.694006 110.85805 2.6177419 0.40674603
chr08_3508769    8  28.539009  0.000000  99.22205 1.4481615 0.99305556
chr09_3333717    9  41.871013 28.465011  51.03402 2.4922083 0.51190476
chr10_60206275  10  49.384022  0.000000  96.39405 0.8127383 1.00000000
chr11_4924585   11  30.714027  8.261009  38.15503 3.4953629 0.08928571
chr12_4682268   12  40.728015  1.204001  87.55804 1.4997955 0.98710317
 
               chr       pos   ci.low   ci.high       lod      pval
chr01_76387469   1 30.132017 14.52701  39.94902 3.1714085 0.1716270
chr02_36787854   2 18.628015  0.00000 107.46909 1.2000673 1.0000000
chr03_64035865   3 88.256042  0.00000 124.56708 1.0459001 1.0000000
chr04_6728572    4 49.056017 28.09101  65.85303 2.9422780 0.2500000
chr05_6166123    5 64.269013 16.63401  89.29903 2.1275564 0.7599206
chr06_49054672   6 98.562055  0.00000  98.56206 1.2118002 1.0000000
chr07_54142982   7 39.972013 31.30201  42.91002 3.1105026 0.1875000
chr08_883623     8  7.248003  0.00000  99.22205 0.7786317 1.0000000
chr09_67733308   9 77.279039  0.00000 130.55805 1.5753787 0.9880952
chr10_65358323  10 96.108052 21.15501  96.39405 1.6813437 0.9662698
chr11_52783757  11 70.955041  0.00000 103.37206 1.0596098 1.0000000
chr12_2129661   12 18.283007  0.00000  85.15204 1.3189663 1.0000000
 
               chr      pos    ci.low   ci.high       lod      pval
chr01_4205504    1 22.36401 18.023011  32.79902 9.2273097 0.0000000
chr02_48414726   2 78.99206 36.539026 107.46909 2.1968494 0.6845238
chr03_5064216    3 47.04302 35.203012  58.97403 2.7183030 0.3323413
chr04_3261417    4 31.65801  0.000000 108.82805 1.7772524 0.9454365
chr05_3192066    5 36.31801  9.489005  81.91303 1.5831064 0.9841270
chr06_40171015   6 43.92902  0.000000  98.56206 0.5033624 1.0000000
chr07_65219730   7 84.73004 46.506018 110.85805 2.1051768 0.7658730
chr08_61195416   8 72.96004 50.581025  86.87005 2.0712081 0.7956349
chr09_68765386   9 85.33104 15.493007 130.55805 2.1660915 0.7132937
chr10_61749749  10 65.35803  0.000000  96.39405 1.1150883 0.9990079
chr11_54774233  11 93.23805 30.107026 103.37206 1.6258353 0.9801587
chr12_63773593  12 73.27503  0.000000  93.13604 0.8629245 1.0000000
 
               chr       pos    ci.low   ci.high      lod        pval
chr01_3572627    1  18.02301  5.575005  27.81101 4.904819 0.006944444
chr02_38614728   2  32.66802 29.261019  59.77804 2.355036 0.599206349
chr03_67259598   3 106.79606 44.878017 120.64508 1.721096 0.962301587
chr04_3261417    4  31.65801 28.091013  40.77101 4.334531 0.012896825
chr05_1851327    5  16.63401  0.000000  67.84701 2.195216 0.702380952
chr06_47038534   6  86.35904 73.477036  98.56206 1.629306 0.981150794
chr07_2347321    7  22.38501  0.000000  35.74401 2.088530 0.781746032
chr08_64161270   8  89.41405 34.002014  99.22205 1.289177 1.000000000
chr09_3333717    9  41.87101 21.453010 105.52005 1.723192 0.962301587
chr10_62140259  10  70.65303 48.540021  96.39405 1.795223 0.941468254
chr11_4924585   11  30.71403 26.905025 101.48805 2.035008 0.810515873
chr12_1684454   12  13.84300  0.000000  81.40303 1.303178 1.000000000
 
               chr      pos    ci.low   ci.high       lod        pval
chr01_3572627    1 18.02301  5.575005  27.81101 5.1204325 0.006944444
chr02_38614728   2 32.66802 29.261019  42.45203 2.6878709 0.363095238
chr03_5064216    3 47.04302  0.000000 117.80107 1.2827116 1.000000000
chr04_3261417    4 31.65801 18.460010  40.77101 4.4856597 0.011904762
chr05_1851327    5 16.63401  0.000000  67.84701 2.2296210 0.676587302
chr06_47038534   6 86.35904 40.918022  98.56206 1.2999447 1.000000000
chr07_2347321    7 22.38501  0.000000  42.91002 2.5367250 0.465277778
chr08_64161270   8 89.41405  0.000000  99.22205 0.9646622 1.000000000
chr09_2480858    9 32.77901 21.453010 102.14705 2.2563919 0.661706349
chr10_62140259  10 70.65303 45.233020  96.39405 1.4111726 0.995039683
chr11_4924585   11 30.71403  8.261009 103.37206 2.0247594 0.823412698
chr12_1550119   12 11.26500  0.000000  48.10602 1.4302762 0.994047619
 
               chr       pos    ci.low   ci.high       lod      pval
chr01_4205504    1  22.36401 16.455010  27.05501 7.6192545 0.0000000
chr02_38614728   2  32.66802 22.010017  97.18608 2.3771321 0.5267857
chr03_5064216    3  47.04302 44.263016 107.63306 1.6987201 0.9603175
chr04_3261417    4  31.65801  0.000000  40.77101 2.6266678 0.3839286
chr05_1851327    5  16.63401  0.000000  36.31801 2.2458119 0.6240079
chr06_2221187    6  10.14200  0.000000  98.56206 0.7424428 1.0000000
chr07_340497     7   0.00000  0.000000  35.74401 1.5900572 0.9861111
chr08_52827688   8  36.11902  0.000000  99.22205 1.0129587 1.0000000
chr09_67733308   9  77.27904  9.478005 130.55805 1.6166868 0.9801587
chr10_62140259  10  70.65303  0.000000  96.39405 1.2609761 1.0000000
chr11_56272429  11 103.37206 12.909012 103.37206 1.3721328 0.9990079
chr12_2129661   12  18.28301  0.000000  93.13604 1.2961793 1.0000000
 
               chr       pos   ci.low   ci.high      lod      pval
chr01_3572627    1  18.02301  0.00000  32.79902 2.418511 0.5426587
chr02_38614728   2  32.66802 12.66501  58.35404 2.696374 0.3581349
chr03_67259598   3 106.79606 82.54004 110.63507 2.466560 0.5119048
chr04_3261417    4  31.65801 28.09101  40.77101 3.091719 0.1746032
chr05_1851327    5  16.63401  0.00000  36.31801 2.044358 0.8015873
chr06_47038534   6  86.35904 79.77604  98.56206 2.053649 0.7936508
chr07_340497     7   0.00000  0.00000  35.74401 1.768102 0.9424603
chr08_64035568   8  87.71805 75.15104  97.45805 2.938944 0.2351190
chr09_2480858    9  32.77901 21.45301  51.03402 2.174152 0.7232143
chr10_62341012  10  73.29503 49.38402  96.39405 1.756692 0.9454365
chr11_4924585   11  30.71403  0.00000 101.48805 1.580629 0.9851190
chr12_4858882   12  42.30702  0.00000  93.13604 1.088581 1.0000000
 
               chr       pos   ci.low   ci.high      lod      pval
chr01_3572627    1  18.02301 11.26801  27.81101 3.120023 0.1726190
chr02_38614728   2  32.66802 29.26102  58.35404 2.916298 0.2500000
chr03_67259598   3 106.79606 83.80804 120.64508 2.325083 0.6160714
chr04_3261417    4  31.65801 28.09101  40.77101 4.061835 0.0297619
chr05_1851327    5  16.63401  0.00000  53.30701 2.221420 0.7003968
chr06_47038534   6  86.35904 79.77604  98.56206 2.368814 0.5853175
chr07_340497     7   0.00000  0.00000  35.74401 1.956175 0.8581349
chr08_64035568   8  87.71805 75.15104  97.45805 2.536808 0.4682540
chr09_2480858    9  32.77901 21.45301 102.14705 2.147259 0.7490079
chr10_62244292  10  72.64603 49.38402  96.39405 1.560158 0.9871032
chr11_4924585   11  30.71403 26.90503 101.48805 1.967658 0.8511905
chr12_4858882   12  42.30702  0.00000  84.48004 1.158667 1.0000000
 
               chr       pos    ci.low   ci.high       lod      pval
chr01_3279061    1  16.45501  5.575005 124.96210 1.8021615 0.9275794
chr02_49269215   2  84.24307  0.000000 107.46909 0.6914794 1.0000000
chr03_2271345    3  21.19801  0.000000 124.44308 1.0158644 1.0000000
chr04_2170732    4  19.54901  3.046003 114.68306 2.4225016 0.5218254
chr05_64424970   5 110.13304 94.974035 111.23804 2.7214127 0.3541667
chr06_42014535   6  55.86303 47.330026  79.77604 1.7784442 0.9375000
chr07_55395662   7  41.66201 19.596004  55.68202 1.9135568 0.8720238
chr08_65155289   8  97.45805  0.000000  99.22205 1.1438590 1.0000000
chr09_71476646   9 117.25705 73.842037 121.64505 2.9233907 0.2529762
chr10_62187729  10  71.66103  0.000000  96.39405 0.6954900 1.0000000
chr11_51667627  11  61.26204 12.909012 103.37206 2.1712091 0.7132937
chr12_351230    12   0.00000  0.000000  93.13604 0.8256208 1.0000000
 
               chr       pos   ci.low   ci.high      lod        pval
chr01_3279061    1  16.45501 11.26801  27.05501 3.698669 0.054563492
chr02_38614728   2  32.66802 30.52802  57.14704 2.828635 0.292658730
chr03_67259598   3 106.79606 83.80804 121.53608 1.973681 0.841269841
chr04_3261417    4  31.65801 28.09101  40.77101 4.633861 0.009920635
chr05_1851327    5  16.63401  0.00000  53.30701 2.183769 0.703373016
chr06_47038534   6  86.35904 79.77604  98.56206 2.373949 0.587301587
chr07_2347321    7  22.38501  0.00000  46.50602 2.000223 0.829365079
chr08_64035568   8  87.71805 75.15104  99.22205 1.912922 0.872023810
chr09_2480858    9  32.77901 21.45301 102.14705 1.881586 0.885912698
chr10_62140259  10  70.65303 45.23302  96.39405 1.362905 0.998015873
chr11_4924585   11  30.71403 26.90503 101.48805 2.188957 0.700396825
chr12_4682268   12  40.72801  0.00000  84.48004 1.147183 1.000000000
 
               chr        pos    ci.low   ci.high       lod       pval
chr01_88441355   1  89.935059 85.018051 102.55307 3.5409550 0.08035714
chr02_16635348   2   0.571001  0.000000  10.62401 1.9191126 0.84920635
chr03_68702106   3 115.796070  1.387001 124.56708 1.1547695 1.00000000
chr04_6728572    4  49.056017  0.000000 114.68306 2.0034648 0.81547619
chr05_10037656   5  72.238018  0.000000 111.23804 1.1335676 1.00000000
chr06_40599648   6  46.566025 24.744016  79.77604 1.5663573 0.98214286
chr07_65219730   7  84.730036 19.596004 110.85805 1.3740156 0.99702381
chr08_64596507   8  92.034051 63.514033  99.22205 3.5981298 0.06944444
chr09_71476646   9 117.257051 76.029038 130.55805 2.2882796 0.64384921
chr10_62187729  10  71.661032  0.000000  96.39405 1.1771020 1.00000000
chr11_55072513  11  96.414050 51.804037 103.37206 3.2652594 0.12599206
chr12_591995    12   1.204001  0.000000  93.13604 0.9065024 1.00000000
 
               chr        pos   ci.low   ci.high       lod      pval
chr01_95289845   1 116.410088  0.00000 121.26809 1.4407576 0.9950397
chr02_31321918   2   5.502005  0.00000 107.46909 1.7944201 0.9126984
chr03_68702106   3 115.796070 22.11601 124.56708 2.1332635 0.7033730
chr04_3261417    4  31.658014  0.00000 114.68306 0.6405445 1.0000000
chr05_22406142   5  73.851020  0.00000 111.23804 0.7376438 1.0000000
chr06_40599648   6  46.566025 30.61102  87.16204 1.7648699 0.9246032
chr07_65219730   7  84.730036 69.90903  92.71504 1.7034552 0.9474206
chr08_64596507   8  92.034051 45.28302  99.22205 1.9108085 0.8472222
chr09_2248868    9  28.465011  0.00000 130.55805 0.7444467 1.0000000
chr10_62140259  10  70.653031  0.00000  96.39405 0.6998769 1.0000000
chr11_54843429  11  95.224049  9.17001 103.37206 2.0293458 0.7728175
chr12_5680442   12  48.106020  0.00000  93.13604 0.9216055 1.0000000
 
               chr       pos    ci.low   ci.high       lod       pval
chr01_4205504    1 22.364012 18.023011  30.13202 2.9075005 0.21825397
chr02_47907698   2 77.568057  0.000000 107.46909 1.2832806 0.99801587
chr03_3289041    3 34.938011 12.675004  50.10802 3.3825221 0.09226190
chr04_1125394    4  6.795008  0.000000  18.46001 2.3054503 0.60416667
chr05_1185215    5  6.957003  0.000000  16.63401 1.6356250 0.97420635
chr06_32362978   6 18.997011 16.244007  22.92502 4.2697962 0.01686508
chr07_65765157   7 90.237038  0.000000 110.85805 1.3580542 0.99801587
chr08_3751501    8 30.200010 15.618006  92.03405 1.3321637 0.99801587
chr09_586167     9  0.138001  0.000000  84.02904 1.4230769 0.99603175
chr10_219095    10  0.000000  0.000000  96.39405 0.8142002 1.00000000
chr11_4924585   11 30.714027 30.107026  32.28503 7.4185270 0.00000000
chr12_63932679  12 75.268031  1.204001  93.13604 1.3281257 0.99801587
 
               chr        pos    ci.low   ci.high       lod        pval
chr01_89056634   1  91.517060 84.144050 129.41110 1.5596289 0.994047619
chr02_38614728   2  32.668021  9.575008 107.46909 1.0650916 1.000000000
chr03_64136163   3  90.065043  1.387001 120.64508 1.4473156 0.999007937
chr04_1125394    4   6.795008  3.046003  45.18802 4.7123765 0.006944444
chr05_4780398    5  53.307008  0.000000 111.23804 0.9990906 1.000000000
chr06_48543732   6  94.537051 79.776039  98.56206 3.1197399 0.163690476
chr07_67421594   7 105.821046 25.694006 110.85805 2.6177419 0.420634921
chr08_3508769    8  28.539009  0.000000  99.22205 1.4481615 0.998015873
chr09_3333717    9  41.871013 28.465011  51.03402 2.4922083 0.497023810
chr10_60206275  10  49.384022  0.000000  96.39405 0.8127383 1.000000000
chr11_4924585   11  30.714027  8.261009  38.15503 3.4953629 0.086309524
chr12_4682268   12  40.728015  1.204001  87.55804 1.4997955 0.998015873
 
               chr      pos    ci.low   ci.high       lod      pval
chr01_4205504    1 22.36401 18.023011  32.79902 9.2273097 0.0000000
chr02_48414726   2 78.99206 36.539026 107.46909 2.1968494 0.6765873
chr03_5064216    3 47.04302 35.203012  58.97403 2.7183030 0.3303571
chr04_3261417    4 31.65801  0.000000 108.82805 1.7772524 0.9355159
chr05_3192066    5 36.31801  9.489005  81.91303 1.5831064 0.9890873
chr06_40171015   6 43.92902  0.000000  98.56206 0.5033624 1.0000000
chr07_65219730   7 84.73004 46.506018 110.85805 2.1051768 0.7549603
chr08_61195416   8 72.96004 50.581025  86.87005 2.0712081 0.7767857
chr09_68765386   9 85.33104 15.493007 130.55805 2.1660915 0.7053571
chr10_61749749  10 65.35803  0.000000  96.39405 1.1150883 1.0000000
chr11_54774233  11 93.23805 30.107026 103.37206 1.6258353 0.9771825
chr12_63773593  12 73.27503  0.000000  93.13604 0.8629245 1.0000000
 
               chr       pos    ci.low   ci.high      lod        pval
chr01_3572627    1  18.02301  5.575005  27.81101 4.904819 0.004960317
chr02_38614728   2  32.66802 29.261019  59.77804 2.355036 0.578373016
chr03_67259598   3 106.79606 44.878017 120.64508 1.721096 0.951388889
chr04_3261417    4  31.65801 28.091013  40.77101 4.334531 0.011904762
chr05_1851327    5  16.63401  0.000000  67.84701 2.195216 0.695436508
chr06_47038534   6  86.35904 73.477036  98.56206 1.629306 0.975198413
chr07_2347321    7  22.38501  0.000000  35.74401 2.088530 0.766865079
chr08_64161270   8  89.41405 34.002014  99.22205 1.289177 0.999007937
chr09_3333717    9  41.87101 21.453010 105.52005 1.723192 0.951388889
chr10_62140259  10  70.65303 48.540021  96.39405 1.795223 0.924603175
chr11_4924585   11  30.71403 26.905025 101.48805 2.035008 0.808531746
chr12_1684454   12  13.84300  0.000000  81.40303 1.303178 0.999007937
 
